Nom_de_la_gare;Code_postal;depart;Total_frequentation_2020;Total_frequentation_2019;Total_frequentation_2018;Total_frequentation_2017;Total_frequentation_2016;Total_frequentation_2015
Polliat;01310;1;4945;7407;5416;6519;5775;6422
Mertzwiller;67580;67;86344;104121;88847;83684;80337;74110
Pompadour;19410;19;843;1816;3018;7890;8892;10996
Merxheim;68500;68;41381;56389;53512;51771;48339;49348
Pons;17800;17;16113;30263;25663;25210;18810;26179
Messein;54850;54;13747;14096;15265;13950;13975;14539
Pont de Briques;62360;62;1501;3964;3210;3307;3704;4158
Metz;57000;57;6792936;11014880;10196963;10619071;10144811;10320600
Pont de la Deûle;59128;59;13177;19152;17724;19305;19886;23457
Metzeral;68380;68;45391;54194;62744;65992;65268;66614
Pont-à-Vendin;62880;62;51875;82222;74389;80989;71944;69868
Meudon Val Fleury;92190;92;1582980;2893671;2940191;2996579;2998119;2982684
Pont-de-l'Arche;27340;27;6016;8975;7213;7658;8840;10860
Miraumont;80300;80;12158;20130;19214;19506;17402;17180
Pont-Melvez;22390;22;5599;5800;3372;2755;3634;3649
Mirecourt;88500;88;118355;149712;149208;171136;189732;191914
Pontorson - Mont-Saint-Michel;50170;50;17813;16749;17539;21439;21421;24136
Miribel;01700;1;241943;382302;342954;356059;338665;353804
Pont-Sainte-Maxence;60700;60;744300;1056853;974670;1052981;1027894;1045065
Moissac;82200;82;63551;77068;66280;83915;83344;81273
Porchefontaine;78000;78;479100;875987;902371;933001;946641;956155
Monaco-Monte-Carlo;98000;98;4085871;7534138;6302802;6588940;5730408;5848796
Port Boulet;37800;37;110711;154528;139012;140903;145565;150573
Montaignac-Saint-Hippolyte;19300;19;1507;1082;773;992;1050;759
Porta;66146;66;0;0;0;0;0;0
Montataire;60160;60;25650;42097;32123;33684;32742;26930
Pougny - Chancy;01550;1;4243;6067;5158;3988;3502;2128
Montceau-les-Mines;71300;71;66643;71447;53885;54713;50722;56742
