Nom_de_la_gare;Code_postal;depart;Total_frequentation_2020;Total_frequentation_2019;Total_frequentation_2018;Total_frequentation_2017;Total_frequentation_2016;Total_frequentation_2015
Saint-Julien-en-Genevois;74160;74;130307;224001;190519;220769;193729;205150
Vern-sur-Seiche;35770;35;6368;6696;7889;6678;9349;9368
Saint-Lô;50000;50;161093;261758;233298;265061;258468;274123
Verzeille;11250;11;221;189;109;356;903;517
Saint-Loubès;33450;33;81190;97492;74088;64620;52897;54107
Vias;34450;34;6242;6904;6804;5704;5810;5816
Saint-Marcel;13720;13;16471;21771;20576;24478;19709;15702
Vic-le-Comte;63270;63;227210;290554;246102;269698;256770;270885
Saint-Martin-d'Oney;40090;40;48972;43527;41402;39972;37447;35243
Vieilleville;23210;23;1677;3417;2504;2819;2749;2273
Saint-Martin-du-Mont;01160;1;4761;4774;3486;3849;4439;3697
Vierzy;02210;2;274;305;160;261;367;941
Saint-Martin-le-Beau;37270;37;35384;45160;44485;46067;45519;50221
Vif;38450;38;3103;5942;5172;6809;6820;9544
Saint-Médard-de-Guizières;33230;33;32864;38870;36412;41114;36113;31399
Vigneux-sur-Seine;91270;91;3532283;6458442;6554135;6647451;6625906;6569971
Saint-Médard-d'Eyrans;33650;33;47390;72449;54341;53116;49780;55372
Vignory;52320;52;3497;4056;2904;4116;4669;4292
Saint-Omer;62500;62;778106;1173145;1082127;1142144;1061150;1114693
Villaines-sous-Bois;95570;95;51848;94805;85903;89237;80512;72448
Saint-Omer-en-Chaussée;60860;60;4458;4522;6679;8695;6873;5496
Villars-les-Dombes;01330;1;388177;593658;576681;617998;596284;586823
Saint-Ouen-l'Aumône Liesse;95310;95;1091697;1996206;1979019;1838982;1715495;1593032
Villefranche - Vernet-les-Bains;66820;66;181304;172788;166458;186293;184903;187267
Saint-Ouen-l'Aumône Quartier de l'Église;95310;95;322678;589690;553932;520876;480297;482195
Villefranche-sur-Cher;41200;41;21318;27715;21068;23003;24318;25589
Saint-Piat;28130;28;155321;218311;214577;222460;229690;226140
Villefranche-sur-Saône;69400;69;1822870;2817514;2548401;2719939;2617241;2603240
Saint-Pierre-d'Aurillac;33490;33;4493;6221;5491;7121;5602;7513
Villeherviers;41200;41;7509;8533;9830;10664;9949;9107
Saint-Pierre-le-Moûtier;58240;58;5605;7044;8263;7990;10162;9946
Villeneuve-Saint-Georges;94190;94;9783858;17889110;18167340;18338319;18187384;18012745
Saint-Pierre-Quiberon;56510;56;6915;7364;4967;4279;3584;3208
Villeneuve-sur-Yonne;89500;89;34580;53213;41845;46191;45945;51020
Saint-Priest;69800;69;129955;195917;161741;158872;142149;155160
Villepreux - Les Clayes;78340;78;1103494;2017279;2056096;2105241;2113817;2111452
Saint-Quentin-Fallavier;38070;38;177024;273098;251594;249271;239492;248046
Villers-Saint-Sépulcre;60134;60;5033;8094;8746;10206;9072;9084
Saint-Rambert-d'Albon;26140;26;248632;357184;339771;370028;359236;354871
Villetaneuse Université T11;93430;93;1006890;1840999;1872981;950582;0;0
Saint-Sébastien;23160;23;2321;4365;4003;4868;4985;5263
Vimy;62580;62;10616;19849;16330;15830;17949;18525
Saint-Senoux - Pléchâtel;35580;35;11508;16198;13570;17055;16712;19286
Vinay;38470;38;133599;212701;169342;186173;159516;153885
Saint-Vallier sur Rhône;26240;26;249083;360379;322051;354429;348241;355464
Vions - Chanaz;73310;73;8868;10396;6363;6661;8798;8829
Saléchan - Siradan;65370;65;81;232;216;326;243;449
Virieu sur Bourbre;38730;38;17414;24338;16990;15848;15897;16332
Sarrebourg;57400;57;619102;894035;859174;910609;895047;901736
Virieu-le-Grand - Belley;01510;1;29627;44111;54918;65692;58225;63403
Sarreinsming;57115;57;191;523;1654;2799;3149;2848
Vittel;88800;88;42037;53800;53873;59880;68356;66226
Sathonay - Rillieux;69580;69;291753;463074;391843;363962;306687;299391
Voreppe;38340;38;285715;410399;340896;350280;317715;339514
Saubusse;40180;40;6167;6923;4991;6188;3252;3875
Vorey;43800;43;29492;45135;29189;24157;35397;34581
Sauto;66210;66;107;79;89;30;101;86
Vulaines-sur-Seine - Samoreau;77870;77;28791;52885;54449;55824;56647;57163
Savigny-le-Temple - Nandy;77176;77;2311061;4226403;4247062;4281204;4232841;4167641
Weyersheim;67720;67;163043;205703;194371;194925;196944;200372
Savigny-sur-Orge;91600;91;4494928;8218456;8091982;7998447;7756128;7477288
Yffiniac;22120;22;19066;28784;27911;33222;39188;36880
Savy-Berlette;62690;62;29700;29712;29081;35026;38536;36355
Yutz;57110;57;804;1186;1484;1300;1930;1701
Schweighouse-sur-Moder;67590;67;15991;24974;21221;16061;17854;18739
Sedan;08200;8;260553;352088;331568;380575;388028;409997
Sélestat;67600;67;1965455;2992548;2821892;2781454;2607726;2578087
Selles-sur-Cher;41130;41;19177;27663;23660;26682;26725;27074
Seltz;67470;67;34485;47482;43068;44815;42966;38779
Sérifontaine;60590;60;522;1048;4700;6693;6792;7675
Serres;05700;5;5138;11608;13227;18488;17619;17529
Sessenheim;67770;67;58277;84660;87444;87386;87873;88449
Seurre;21250;21;50275;59970;50089;53673;51862;63082
Sévérac;44530;44;7792;10076;5873;2841;967;964
Seyssel - Corbonod;01420;1;37709;65164;49537;66355;57460;64114
Sillé-le-Guillaume;72140;72;71419;125400;128078;153444;152758;156285
Sommery;76440;76;2099;2678;2477;3868;3687;3891
Soulac-sur-Mer;33780;33;39215;50903;39300;36686;30531;32954
Soultz-sous-Forêts;67250;67;171615;226985;229328;239074;223433;226448
Sous le Bois;59600;59;12;342;374;334;496;715
Stade de France Saint-Denis;93200;93;5197870;9511865;9616737;9890614;9915895;9893704
Steenbecque;59189;59;260;209;366;895;707;597
Strasbourg;67000;67;14662861;24118167;22663452;22459880;20755716;20486395
Suèvres;41500;41;49;170;61;62;183;63
Suresnes Mont Valérien;92150;92;1891581;3463282;3120349;2847025;2544442;2559923
Taconnaz;74310;74;4141;3871;4170;3699;2966;2772
Taillebourg;17350;17;0;663;368;453;563;252
Tain-l'Hermitage - Tournon;26600;26;419071;631755;561078;587975;550825;564523
Tarascon;13150;13;141940;266809;245829;282880;266356;274583
Tende;06430;6;11920;22922;18199;26052;26822;24345
Thenissey;21150;21;3006;5014;5561;5167;6434;7543
Thésée;41140;41;5126;5585;3370;4384;5421;4145
Thuès Carença;66360;66;1984;2100;2042;1931;2481;2538
Tonnay-Charente;17430;17;12983;15321;11928;13460;11577;13000
Torpes - Boussières;25320;25;3100;2743;2086;1492;2373;2288
Toul;54200;54;230375;343259;314423;323295;288052;290084
Tourcoing;59200;59;531921;763393;914508;1310236;1050770;211786
Tournan-en-Brie;77220;77;1078331;1971494;2017749;2082036;2107021;2128614
Tournemire - Roquefort;12250;12;343;937;482;499;542;548
Tourville-la-Rivière;76410;76;1463;1109;1342;1185;1651;2045
Toury;28310;28;128809;163512;132607;126828;128032;134027
Traou Nez;22860;22;93;178;111;203;233;139
Trois Chênes;90000;90;14019;22181;18155;20775;21491;16508
Trois-Puits;51500;51;1;283;60;146;12;377
Uckange;57270;57;414452;617755;518547;496864;404637;291376
Ur - Les Escaldes;66760;66;126;48;44;82;37;51
Urçay - La Perche;18200;18;1943;3024;4200;5286;4913;5743
Ussel;19200;19;43557;55008;50999;61827;59892;70375
Ustaritz;64480;64;2245;2243;2244;2770;2843;2114
Val-de-Reuil;27100;27;416228;692089;598414;660947;610082;619331
Varetz;19240;19;1394;2217;1814;2338;2141;1797
Vayres;33870;33;32356;46569;32246;23578;19040;18649
Veigné;37250;37;8435;10360;11787;16682;20693;21159
Venerque - Vernet;31810;31;163228;217771;198958;245615;236890;235599
Vénissieux;69200;69;142104;231619;199633;216601;224160;237815
Vergèze - Codognan;30310;30;255064;304936;272755;309295;276713;266238
Vertaizon;63910;63;143863;186155;161403;172772;155952;165368
Vienne;38200;38;1383046;2211169;1949525;2002666;1865218;1863346
Vieux-Thann;68800;68;177118;193182;196620;211653;211678;197578
Villedieu-les-Poêles;50800;50;52622;101134;87124;86219;79093;69944
Villefranche-du-Périgord;24550;24;1895;3251;2586;3084;3318;3683
Villeneuve Triage;94190;94;723311;1322503;1381636;1439542;1472868;1502738
Villeneuve-la-Comtesse;17330;17;1196;2159;1833;1548;1895;2463
Villeneuve-Loubet;06270;6;278241;477072;380509;404818;335011;322873
Villeneuve-sur-Allier;03460;3;620;874;149;190;265;172
Villenouvelle;31290;31;13848;17338;11581;15656;18415;17963
Villers-Cotterêts;02600;2;316350;463625;441821;490172;487205;520736
Villiers - Neauphle - Pontchartrain;78640;78;499032;915771;885357;870952;831616;790827
Villiers-sur-Marne - Le Plessis-Trévise;94350;94;4455330;8146119;8276068;8434061;8426955;8383560
Vinça;66320;66;993;540;531;1348;1094;927
Virville - Manneville;76110;76;0;48;2082;2391;3652;5426
Viry-Châtillon;91170;91;1364818;2495409;2332852;2167934;1981085;1809467
Vitré;35500;35;739203;1039585;945092;940709;897955;887488
Vitry-en-Artois;62490;62;61341;91824;93824;95886;95222;97110
Volvic;63530;63;6737;8791;7619;9864;9518;8183
Vonnas;01540;1;85383;91327;94344;93489;93865;92618
Vougeot - Gilly-lès-Cîteaux;21640;21;29538;36550;28416;32250;31697;41974
Voves;28150;28;26418;42483;34200;33236;27529;27688
Vrigne-Meuse;08350;8;4032;4277;4818;5990;7801;7036
Walbach;68230;68;3027;5326;5720;6960;5271;6899
Walbourg;67360;67;24737;43834;41875;39017;35223;39264
Walheim;68130;68;3444;6940;5902;6420;6135;6043
Wambrechies;59118;59;21;919;976;1093;745;1292
Wattignies - Templemars;59680;59;36998;69841;59292;61813;58718;66457
Wavrin;59136;59;65234;123495;111829;126058;126593;135801
Wihr-au-Val - Soultzbach;68230;68;36875;40307;36849;41448;38444;38570
Willer-sur-Thur;68760;68;28158;33144;32699;38078;37509;38789
Wilwisheim;67270;67;30311;39515;39001;33171;32877;34845
Wittring;57137;57;5284;6744;7293;9824;13676;15023
Woincourt;80520;80;1106;4995;7732;11946;13623;14320
Woippy;57140;57;79458;139362;120464;117181;100227;89236
Xertigny;88220;88;871;1185;1036;978;1350;1919
Zillisheim;68720;68;24257;39973;36631;33699;32455;33298
